State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Median Family Income (In 2021 Inflation Adjusted Dollars),Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Civilian Population 16 to 19 Years:,"Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)",Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,SE_A14010_001,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17,031,020400,14000US17031020400,Census Tract 204,,74219,4115,4115,1936,894,15,507,0,303,460,4115,2829,1434,839,0,414,0,0,142,1286,502,55,15,93,0,303,318,149,0,149,4093,301,137,257,498,230,2670,781,160,621
17,031,020500,14000US17031020500,Census Tract 205,,44868,6560,6560,2149,949,12,2519,0,635,296,6560,4981,1183,949,12,2519,0,22,296,1579,966,0,0,0,0,613,0,235,0,235,6337,785,450,618,1132,731,2621,1902,679,1223
17,031,020601,14000US17031020601,Census Tract 206.01,,58984,5937,5937,3850,238,0,1330,2,112,405,5937,5687,3675,238,0,1330,2,78,364,250,175,0,0,0,0,34,41,599,0,599,5937,760,698,182,840,419,3038,1809,886,923
17,031,020602,14000US17031020602,Census Tract 206.02,,69459,5823,5823,2734,494,0,1279,0,1128,188,5823,4358,2430,494,0,1279,0,36,119,1465,304,0,0,0,0,1092,69,206,0,206,5810,165,31,237,957,1089,3331,1499,167,1332
17,031,020701,14000US17031020701,Census Tract 207.01,,108095,1728,1728,1253,154,8,139,0,68,106,1728,1485,1161,140,8,139,0,0,37,243,92,14,0,0,0,68,69,53,0,53,1728,42,29,117,127,104,1309,318,7,311
17,031,020702,14000US17031020702,Census Tract 207.02,,60833,8659,8659,5162,202,237,2194,0,374,490,8659,6248,3729,202,0,2194,0,29,94,2411,1433,0,237,0,0,345,396,305,6,299,8478,338,137,645,810,1227,5321,3020,560,2460
17,031,020801,14000US17031020801,Census Tract 208.01,,74088,6025,6025,3304,916,0,907,14,214,670,6025,4392,2366,916,0,907,0,0,203,1633,938,0,0,0,14,214,467,547,0,547,6025,175,292,290,406,628,4234,1170,234,936
17,031,020802,14000US17031020802,Census Tract 208.02,,57194,8514,8514,3010,463,326,2700,0,1271,744,8514,6063,2003,463,153,2700,0,0,744,2451,1007,0,173,0,0,1271,0,392,0,392,8501,391,610,551,1234,1752,3963,2324,605,1719
17,031,020901,14000US17031020901,Census Tract 209.01,,46269,6237,6237,2192,1659,0,1469,0,188,729,6237,4698,1342,1592,0,1469,0,29,266,1539,850,67,0,0,0,159,463,404,29,375,6237,487,563,369,1356,837,2625,1633,637,996
17,031,020902,14000US17031020902,Census Tract 209.02,,43706,4517,4517,1936,849,0,1385,0,129,218,4517,3766,1507,822,0,1363,0,0,74,751,429,27,0,22,0,129,144,220,10,210,4289,569,436,210,531,504,2039,912,264,648
17,031,030101,14000US17031030101,Census Tract 301.01,,65880,3699,3699,1647,866,11,745,0,169,261,3699,3098,1330,866,0,745,0,0,157,601,317,0,11,0,0,169,104,75,0,75,3699,402,112,181,623,491,1890,519,152,367
17,031,030102,14000US17031030102,Census Tract 301.02,,63359,3147,3147,1414,437,0,941,0,134,221,3147,2682,1205,428,0,931,0,68,50,465,209,9,0,10,0,66,171,87,19,68,3109,234,169,301,111,125,2169,238,124,114
17,031,030103,14000US17031030103,Census Tract 301.03,,71250,2459,2459,1344,522,15,299,0,78,201,2459,2158,1233,515,10,299,0,0,101,301,111,7,5,0,0,78,100,518,0,518,1552,122,22,62,119,95,1132,114,8,106
17,031,030104,14000US17031030104,Census Tract 301.04,,71861,3245,3245,2153,227,9,588,0,156,112,3245,2800,1928,227,9,585,0,24,27,445,225,0,0,3,0,132,85,1068,0,1068,1718,344,36,142,105,130,961,113,31,82
17,031,030200,14000US17031030200,Census Tract 302,,140526,5995,5995,4125,175,0,193,43,172,1287,5995,4561,3893,175,0,193,43,15,242,1434,232,0,0,0,0,157,1045,63,0,63,5985,372,77,248,110,555,4623,767,0,767
17,031,030300,14000US17031030300,Census Tract 303,,71458,3828,3828,1878,562,29,594,0,357,408,3828,2744,1360,562,16,584,0,68,154,1084,518,0,13,10,0,289,254,126,20,106,3828,165,242,271,369,390,2391,816,367,449
17,031,030400,14000US17031030400,Census Tract 304,,105069,2764,2764,1963,152,7,207,0,130,305,2764,2126,1675,141,7,207,0,10,86,638,288,11,0,0,0,120,219,25,0,25,2764,130,162,170,271,156,1875,466,89,377
17,031,030500,14000US17031030500,Census Tract 305,,118750,6703,6703,5027,381,28,180,12,237,838,6703,5345,4159,381,0,180,12,0,613,1358,868,0,28,0,0,237,225,2,0,2,6515,258,107,73,344,447,5286,883,88,795
17,031,030601,14000US17031030601,Census Tract 306.01,,53093,3789,3789,1755,971,0,821,0,18,224,3789,3545,1600,971,0,821,0,0,153,244,155,0,0,0,0,18,71,38,0,38,3616,56,241,224,470,779,1846,613,50,563
17,031,030603,14000US17031030603,Census Tract 306.03,,44516,2361,2361,1376,623,0,240,0,23,99,2361,2018,1083,623,0,240,0,0,72,343,293,0,0,0,0,23,27,42,0,42,2361,99,112,180,234,321,1415,347,58,289
17,031,030604,14000US17031030604,Census Tract 306.04,,95547,3234,3234,1865,694,0,413,0,61,201,3234,2896,1644,694,0,413,0,22,123,338,221,0,0,0,0,39,78,52,0,52,3234,171,132,302,102,151,2376,254,49,205
17,031,030701,14000US17031030701,Census Tract 307.01,,59519,1509,1509,767,511,0,156,0,54,21,1509,1362,701,504,0,136,0,0,21,147,66,7,0,20,0,54,0,42,26,16,1371,110,227,42,111,82,799,153,118,35
17,031,030702,14000US17031030702,Census Tract 307.02,,110498,2323,2323,1412,53,0,707,0,53,98,2323,2063,1267,53,0,707,0,19,17,260,145,0,0,0,0,34,81,19,0,19,2323,125,57,136,95,138,1772,246,78,168
17,031,030703,14000US17031030703,Census Tract 307.03,,54444,2995,2995,1880,523,0,179,0,80,333,2995,2496,1756,443,0,179,0,0,118,499,124,80,0,0,0,80,215,10,0,10,2995,207,99,512,247,117,1813,102,31,71
17,031,030706,14000US17031030706,Census Tract 307.06,,90703,2720,2720,1731,457,0,460,0,11,61,2720,2624,1646,457,0,460,0,0,61,96,85,0,0,0,0,11,0,83,75,8,2720,43,37,32,138,351,2119,57,0,57
17,031,030800,14000US17031030800,Census Tract 308,,161842,4164,4164,3374,200,0,282,0,146,162,4164,3507,2937,159,0,282,0,32,97,657,437,41,0,0,0,114,65,56,0,56,4015,203,139,132,22,235,3284,517,96,421
17,031,030900,14000US17031030900,Census Tract 309,,152500,3149,3149,2322,165,24,407,0,21,210,3149,2757,2105,125,7,407,0,0,113,392,217,40,17,0,0,21,97,74,11,63,3149,66,19,73,239,122,2630,345,0,345
17,031,031000,14000US17031031000,Census Tract 310,,124331,3830,3830,3041,60,0,206,0,177,346,3830,2919,2531,60,0,206,0,60,62,911,510,0,0,0,0,117,284,81,0,81,3814,330,55,0,127,244,3058,420,112,308
17,031,031100,14000US17031031100,Census Tract 311,,106395,4685,4685,3586,315,0,304,0,137,343,4685,4135,3259,315,0,284,0,0,277,550,327,0,0,20,0,137,66,13,0,13,4607,292,273,383,301,346,3012,428,96,332
17,031,031200,14000US17031031200,Census Tract 312,,44814,5878,5878,2156,2037,17,889,0,484,295,5878,4517,1537,1970,17,877,0,0,116,1361,619,67,0,12,0,484,179,72,0,72,5601,526,573,517,1320,246,2419,1039,376,663
17,031,031300,14000US17031031300,Census Tract 313,,107667,7237,7237,4209,1114,7,1364,0,202,341,7237,6427,3726,1092,7,1325,0,0,277,810,483,22,0,39,0,202,64,131,0,131,6805,633,281,321,396,561,4613,546,161,385
17,031,031400,14000US17031031400,Census Tract 314,,122868,4934,4934,3856,219,0,519,0,26,314,4934,4439,3514,219,0,519,0,0,187,495,342,0,0,0,0,26,127,15,0,15,4795,205,18,88,154,218,4112,249,0,249
17,031,031501,14000US17031031501,Census Tract 315.01,,43503,4684,4684,1601,1715,10,827,0,365,166,4684,4030,1380,1699,0,827,0,12,112,654,221,16,10,0,0,353,54,147,0,147,4653,1406,454,357,202,373,1861,935,676,259
17,031,031502,14000US17031031502,Census Tract 315.02,,38367,4878,4878,1889,2176,0,109,0,251,453,4878,4141,1632,2145,0,97,0,0,267,737,257,31,0,12,0,251,186,287,0,287,4878,579,394,651,528,530,2196,1013,332,681
17,031,031700,14000US17031031700,Census Tract 317,,150781,6355,6355,4676,911,49,339,0,165,215,6355,5849,4472,902,49,339,0,5,82,506,204,9,0,0,0,160,133,68,0,68,6248,337,307,215,303,542,4544,505,150,355
17,031,031800,14000US17031031800,Census Tract 318,,123942,2014,2014,1259,92,1,264,0,114,284,2014,1730,1139,92,0,264,0,0,235,284,120,0,1,0,0,114,49,41,0,41,2011,166,37,69,135,28,1576,245,0,245
17,031,031900,14000US17031031900,Census Tract 319,,156042,2599,2599,2015,263,9,146,0,43,123,2599,2453,1904,263,0,146,0,17,123,146,111,0,9,0,0,26,0,61,0,61,2599,111,27,8,197,125,2131,417,0,417
17,031,032100,14000US17031032100,Census Tract 321,,105830,7944,7944,5647,556,81,1137,0,336,187,7944,6374,4546,556,0,1125,0,0,147,1570,1101,0,81,12,0,336,40,362,0,362,7798,467,142,922,360,777,5130,752,202,550
17,031,040100,14000US17031040100,Census Tract 401,,152679,3982,3982,2954,371,0,111,0,286,260,3982,3257,2662,327,0,111,0,0,157,725,292,44,0,0,0,286,103,121,0,121,3846,172,48,85,45,272,3224,668,73,595
17,031,040201,14000US17031040201,Census Tract 402.01,,95212,6980,6980,5280,149,1,540,0,573,437,6980,5592,4809,140,1,540,0,0,102,1388,471,9,0,0,0,573,335,224,0,224,6980,216,34,88,144,770,5728,1045,45,1000
17,031,040202,14000US17031040202,Census Tract 402.02,,53958,7726,7726,3448,393,181,1769,0,675,1260,7726,5428,2535,393,0,1638,0,72,790,2298,913,0,181,131,0,603,470,332,0,332,7577,638,367,524,1566,364,4118,1878,520,1358
17,031,040300,14000US17031040300,Census Tract 403,,101500,2988,2988,1651,216,0,855,0,219,47,2988,2524,1421,216,0,855,0,18,14,464,230,0,0,0,0,201,33,160,0,160,2876,209,67,139,207,39,2215,504,40,464
17,031,040401,14000US17031040401,Census Tract 404.01,,113199,3440,3440,2542,150,20,240,0,88,400,3440,2696,2049,150,0,240,0,0,257,744,493,0,20,0,0,88,143,25,0,25,3428,49,26,8,113,155,3077,650,0,650
17,031,040402,14000US17031040402,Census Tract 404.02,,140278,4621,4621,3756,75,0,261,0,183,346,4621,4021,3521,60,0,261,0,15,164,600,235,15,0,0,0,168,182,0,0,0,4612,199,0,25,308,234,3846,538,0,538
17,031,040600,14000US17031040600,Census Tract 406,,162083,2817,2817,2119,250,48,9,0,286,105,2817,2397,2009,250,0,9,0,47,82,420,110,0,48,0,0,239,23,20,0,20,2817,140,10,37,87,61,2482,418,0,418
17,031,040700,14000US17031040700,Census Tract 407,,150921,3667,3667,2853,130,0,387,0,146,151,3667,3439,2728,130,0,387,0,78,116,228,125,0,0,0,0,68,35,51,0,51,3650,176,5,25,168,249,3027,682,10,672
