State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Median Family Income (In 2021 Inflation Adjusted Dollars),Total Population,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races,Civilian Population 16 to 19 Years:,"Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)",Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty,Population Under 18 Years of Age for Whom Poverty Status Is Determined: At or Above Poverty Level
Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,SE_A14010_001,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17,031,280100,14000US17031280100,Census Tract 2801,,211504,7016,7016,5179,131,0,1385,0,55,266,7016,6563,4833,131,0,1385,0,0,214,453,346,0,0,0,0,55,52,10,0,10,7016,233,21,90,59,113,6500,344,18,326
17,031,280400,14000US17031280400,Census Tract 2804,,46071,1471,1471,346,1013,0,22,0,52,38,1471,1324,311,1013,0,0,0,0,0,147,35,0,0,22,0,52,38,79,3,76,1460,171,60,178,171,98,782,396,145,251
17,031,280800,14000US17031280800,Census Tract 2808,,29015,863,863,86,760,0,0,0,0,17,863,796,40,739,0,0,0,0,17,67,46,21,0,0,0,0,0,46,0,46,845,170,26,96,98,200,255,202,84,118
17,031,280900,14000US17031280900,Census Tract 2809,,,1075,1075,95,897,0,83,0,0,0,1075,1051,71,897,0,83,0,0,0,24,24,0,0,0,0,0,0,51,0,51,1075,199,66,67,52,8,683,265,131,134
17,031,281900,14000US17031281900,Census Tract 2819,,153672,6592,6592,3411,186,0,2389,0,141,465,6592,5944,3195,165,0,2389,0,19,176,648,216,21,0,0,0,122,289,66,0,66,6493,438,0,70,126,343,5516,598,19,579
17,031,282700,14000US17031282700,Census Tract 2827,,93625,2275,2275,802,819,14,259,0,224,157,2275,1750,608,776,0,259,0,0,107,525,194,43,14,0,0,224,50,77,0,77,2275,357,44,93,156,208,1417,471,154,317
17,031,282800,14000US17031282800,Census Tract 2828,,80556,1610,1610,661,164,0,236,0,410,139,1610,903,478,164,0,236,0,0,25,707,183,0,0,0,0,410,114,52,0,52,1610,195,42,12,369,49,943,316,13,303
17,031,283100,14000US17031283100,Census Tract 2831,,,2980,2980,811,739,0,976,0,264,190,2980,2471,663,739,0,976,0,0,93,509,148,0,0,0,0,264,97,33,0,33,2980,542,84,112,500,190,1552,338,35,303
17,031,283200,14000US17031283200,Census Tract 2832,,52432,1787,1787,542,891,60,175,0,26,93,1787,1594,463,891,0,175,0,7,58,193,79,0,60,0,0,19,35,65,0,65,1787,165,22,192,218,292,898,415,123,292
17,031,283800,14000US17031283800,Census Tract 2838,,90185,3656,3656,1186,2065,0,321,0,73,11,3656,3497,1101,2065,0,321,0,10,0,159,85,0,0,0,0,63,11,77,0,77,3656,306,292,141,395,285,2237,922,260,662
17,031,290900,14000US17031290900,Census Tract 2909,,31589,4366,4366,39,4313,0,0,0,0,14,4366,4366,39,4313,0,0,0,0,14,0,0,0,0,0,0,0,0,379,38,341,4366,953,387,625,299,445,1657,1372,820,552
17,031,291200,14000US17031291200,Census Tract 2912,,32500,1933,1933,2,1913,0,0,0,18,0,1933,1915,2,1913,0,0,0,0,0,18,0,0,0,0,0,18,0,229,0,229,1908,272,286,256,307,246,541,548,324,224
17,031,291600,14000US17031291600,Census Tract 2916,,110605,1396,1396,499,68,0,0,0,740,89,1396,391,323,68,0,0,0,0,0,1005,176,0,0,0,0,740,89,26,0,26,1378,69,33,22,89,135,1030,333,0,333
17,031,292200,14000US17031292200,Census Tract 2922,,51450,2580,2580,115,2213,0,32,0,180,40,2580,2356,82,2093,0,32,0,141,8,224,33,120,0,0,0,39,32,111,22,89,2580,359,296,208,207,367,1143,607,339,268
17,031,292400,14000US17031292400,Census Tract 2924,,50625,1880,1880,434,1445,0,1,0,0,0,1880,1779,351,1427,0,1,0,0,0,101,83,18,0,0,0,0,0,146,0,146,1880,113,94,198,136,263,1076,329,93,236
17,031,292500,14000US17031292500,Census Tract 2925,,52500,3698,3698,258,2941,0,0,0,243,256,3698,3153,74,2898,0,0,0,110,71,545,184,43,0,0,0,133,185,139,31,108,3698,405,567,16,578,577,1555,864,306,558
17,031,300500,14000US17031300500,Census Tract 3005,,55162,3214,3214,1383,71,212,0,0,1138,410,3214,222,161,61,0,0,0,0,0,2992,1222,10,212,0,0,1138,410,103,0,103,3214,281,75,117,681,340,1720,655,116,539
17,031,300600,14000US17031300600,Census Tract 3006,,46933,2862,2862,718,351,0,0,24,1696,73,2862,483,96,351,0,0,0,0,36,2379,622,0,0,0,24,1696,37,169,0,169,2758,302,187,84,444,303,1438,692,185,507
17,031,300700,14000US17031300700,Census Tract 3007,,44451,4740,4740,1891,129,18,66,0,1604,1032,4740,149,59,48,0,42,0,0,0,4591,1832,81,18,24,0,1604,1032,439,0,439,4740,190,311,105,935,906,2293,1064,260,804
17,031,300800,14000US17031300800,Census Tract 3008,,31667,4387,4387,2099,0,0,0,0,1969,319,4387,79,59,0,0,0,0,20,0,4308,2040,0,0,0,0,1949,319,307,60,247,4387,946,648,789,292,862,850,1725,1149,576
17,031,300900,14000US17031300900,Census Tract 3009,,34872,3982,3982,1405,1,9,0,0,2091,476,3982,311,310,1,0,0,0,0,0,3671,1095,0,9,0,0,2091,476,123,0,123,3982,563,377,266,610,479,1687,795,484,311
17,031,301100,14000US17031301100,Census Tract 3011,,58250,2150,2150,1170,42,12,0,0,857,69,2150,328,286,42,0,0,0,0,0,1822,884,0,12,0,0,857,69,102,17,85,2150,121,69,45,327,603,985,584,18,566
17,031,301200,14000US17031301200,Census Tract 3012,,34819,5119,5119,1817,810,0,42,0,2245,205,5119,1113,292,670,0,42,0,0,109,4006,1525,140,0,0,0,2245,96,118,0,118,5119,878,0,554,1084,437,2166,1507,649,858
17,031,301600,14000US17031301600,Census Tract 3016,,29212,3326,3326,1136,113,43,2,0,1663,369,3326,240,119,101,0,2,0,0,18,3086,1017,12,43,0,0,1663,351,90,3,87,3326,488,615,12,543,789,879,709,447,262
17,031,301701,14000US17031301701,Census Tract 3017.01,,55656,3637,3637,2021,27,0,91,0,913,585,3637,498,408,0,0,90,0,0,0,3139,1613,27,0,1,0,913,585,122,0,122,3637,311,167,27,367,469,2296,498,122,376
17,031,301702,14000US17031301702,Census Tract 3017.02,,37300,3617,3617,1355,0,0,0,0,1933,329,3617,247,224,0,0,0,0,0,23,3370,1131,0,0,0,0,1933,306,204,0,204,3587,91,289,345,978,834,1050,1192,289,903
17,031,301801,14000US17031301801,Census Tract 3018.01,,43729,4120,4120,1807,2,97,0,0,1175,1039,4120,91,88,2,1,0,0,0,0,4029,1719,0,96,0,0,1175,1039,387,0,387,4120,288,273,523,520,533,1983,1108,209,899
17,031,301802,14000US17031301802,Census Tract 3018.02,,52500,2769,2769,1255,30,19,0,0,1125,340,2769,124,85,30,9,0,0,0,0,2645,1170,0,10,0,0,1125,340,126,0,126,2769,162,96,212,718,467,1114,832,249,583
17,031,301803,14000US17031301803,Census Tract 3018.03,,52648,3230,3230,1917,0,7,0,0,595,711,3230,19,19,0,0,0,0,0,0,3211,1898,0,7,0,0,595,711,60,0,60,3230,128,0,107,360,714,1921,669,89,580
17,031,310200,14000US17031310200,Census Tract 3102,,101048,1760,1760,1040,78,68,322,0,104,148,1760,1037,596,78,0,311,0,0,52,723,444,0,68,11,0,104,96,41,10,31,1760,162,2,57,144,75,1320,289,113,176
17,031,310300,14000US17031310300,Census Tract 3103,,73125,1759,1759,736,54,62,60,0,631,216,1759,504,360,54,0,60,0,0,30,1255,376,0,62,0,0,631,186,138,0,138,1759,117,15,31,316,184,1096,367,76,291
17,031,310400,14000US17031310400,Census Tract 3104,,100197,1201,1201,426,8,29,125,0,413,200,1201,544,334,8,0,125,0,12,65,657,92,0,29,0,0,401,135,32,0,32,1201,63,41,28,208,52,809,199,21,178
17,031,310500,14000US17031310500,Census Tract 3105,,62102,1482,1482,639,0,8,9,0,656,170,1482,243,234,0,0,9,0,0,0,1239,405,0,8,0,0,656,170,13,0,13,1482,51,0,74,212,208,937,206,10,196
17,031,310600,14000US17031310600,Census Tract 3106,,91531,5598,5598,2651,183,122,320,0,1486,836,5598,2442,1830,183,0,320,0,89,20,3156,821,0,122,0,0,1397,816,222,0,222,5598,217,81,220,850,280,3950,835,0,835
17,031,310700,14000US17031310700,Census Tract 3107,,57266,1486,1486,601,101,5,162,0,382,235,1486,681,378,73,0,162,0,0,68,805,223,28,5,0,0,382,167,16,0,16,1486,34,193,88,229,16,926,192,7,185
17,031,310800,14000US17031310800,Census Tract 3108,,64458,4383,4383,2154,45,37,206,0,1022,919,4383,983,692,20,0,206,0,0,65,3400,1462,25,37,0,0,1022,854,184,0,184,4383,190,215,448,516,244,2770,822,175,647
17,031,310900,14000US17031310900,Census Tract 3109,,60304,4855,4855,1996,96,40,40,0,1867,816,4855,1096,815,65,0,40,0,0,176,3759,1181,31,40,0,0,1867,640,386,69,317,4855,453,98,449,692,256,2907,934,414,520
17,031,320101,14000US17031320101,Census Tract 3201.01,,222344,7952,7952,4729,536,0,1864,0,427,396,7952,7228,4376,536,0,1864,0,56,396,724,353,0,0,0,0,371,0,162,0,162,7929,290,38,0,90,132,7379,620,0,620
17,031,320102,14000US17031320102,Census Tract 3201.02,,241811,4769,4769,3026,77,380,1122,0,0,164,4769,4349,2904,4,155,1122,0,0,164,420,122,73,225,0,0,0,0,175,0,175,4752,287,0,97,298,131,3939,377,48,329
17,031,320400,14000US17031320400,Census Tract 3204,,206250,3058,3058,2075,330,0,457,0,46,150,3058,2828,1965,312,0,457,0,0,94,230,110,18,0,0,0,46,56,908,0,908,1193,101,0,0,0,0,1092,39,0,39
17,031,320600,14000US17031320600,Census Tract 3206,,192422,5537,5537,3860,450,0,954,0,76,197,5537,4972,3485,450,0,954,0,0,83,565,375,0,0,0,0,76,114,158,0,158,5434,468,34,134,140,103,4555,429,74,355
17,031,330101,14000US17031330101,Census Tract 3301.01,,213640,4556,4556,2922,127,0,1223,0,81,203,4556,4183,2563,127,0,1223,0,67,203,373,359,0,0,0,0,14,0,0,0,0,4556,0,273,0,0,130,4153,303,102,201
17,031,330102,14000US17031330102,Census Tract 3301.02,,235775,9253,9253,4936,2244,0,1315,0,189,569,9253,8573,4504,2244,0,1315,0,46,464,680,432,0,0,0,0,143,105,0,0,0,9253,302,0,37,392,81,8441,969,0,969
17,031,330103,14000US17031330103,Census Tract 3301.03,,174413,7928,7928,4808,2220,57,819,0,6,18,7928,7662,4659,2166,0,819,0,0,18,266,149,54,57,0,0,6,0,0,0,0,7764,284,54,90,712,59,6565,825,0,825
17,031,330200,14000US17031330200,Census Tract 3302,,189022,3990,3990,2114,1024,0,625,0,0,227,3990,3882,2037,993,0,625,0,0,227,108,77,31,0,0,0,0,0,128,0,128,3990,93,189,117,396,87,3108,1000,48,952
17,031,340300,14000US17031340300,Census Tract 3403,,45221,1800,1800,493,0,0,1251,0,37,19,1800,1504,245,0,0,1251,0,8,0,296,248,0,0,0,0,29,19,27,0,27,1800,173,138,83,282,235,889,427,58,369
17,031,340400,14000US17031340400,Census Tract 3404,,46442,1584,1584,355,33,10,1093,0,85,8,1584,1504,307,33,10,1093,0,53,8,80,48,0,0,0,0,32,0,74,0,74,1558,201,36,29,303,187,802,210,38,172
17,031,340500,14000US17031340500,Census Tract 3405,,26758,1730,1730,957,70,0,571,0,86,46,1730,1419,748,70,0,571,0,0,30,311,209,0,0,0,0,86,16,31,0,31,1730,274,155,257,80,126,838,211,82,129
17,031,340600,14000US17031340600,Census Tract 3406,,22361,1105,1105,75,920,0,58,0,0,52,1105,1105,75,920,0,58,0,0,52,0,0,0,0,0,0,0,0,36,0,36,1105,319,170,193,173,0,250,344,236,108
17,031,350100,14000US17031350100,Census Tract 3501,,59404,2459,2459,226,827,6,1325,0,35,40,2459,2419,186,827,6,1325,0,35,40,40,40,0,0,0,0,0,0,0,0,0,2459,266,18,91,45,182,1857,73,11,62
17,031,350400,14000US17031350400,Census Tract 3504,,34125,1859,1859,8,1840,0,0,0,0,11,1859,1848,8,1840,0,0,0,0,0,11,0,0,0,0,0,0,11,118,12,106,1859,468,303,52,149,348,539,608,279,329
17,031,351000,14000US17031351000,Census Tract 3510,,59300,3357,3357,124,2522,0,392,0,28,291,3357,3257,94,2493,0,392,0,0,278,100,30,29,0,0,0,28,13,8,0,8,3357,490,105,100,50,333,2279,156,0,156
17,031,351100,14000US17031351100,Census Tract 3511,,18606,2230,2230,14,2013,0,0,0,33,170,2230,1999,14,1939,0,0,0,0,46,231,0,74,0,0,0,33,124,68,0,68,2230,608,202,405,384,215,416,925,495,430
17,031,351400,14000US17031351400,Census Tract 3514,,30481,1535,1535,85,1279,85,37,0,27,22,1535,1400,85,1270,0,37,0,0,8,135,0,9,85,0,0,27,14,91,15,76,1535,415,197,106,317,77,423,368,191,177
17,031,351500,14000US17031351500,Census Tract 3515,,,910,910,151,564,0,111,0,31,53,910,834,133,564,0,111,0,0,26,76,18,0,0,0,0,31,27,62,0,62,910,180,111,42,57,82,438,196,82,114
17,031,360200,14000US17031360200,Census Tract 3602,,27188,1792,1792,75,1674,0,43,0,0,0,1792,1725,8,1674,0,43,0,0,0,67,67,0,0,0,0,0,0,210,0,210,1792,231,523,34,262,198,544,698,387,311
17,031,380100,14000US17031380100,Census Tract 3801,,114000,1984,1984,94,1794,15,1,0,0,80,1984,1929,86,1767,15,1,0,0,60,55,8,27,0,0,0,0,20,33,0,33,1984,161,314,183,274,45,1007,337,112,225
17,031,380200,14000US17031380200,Census Tract 3802,,61074,1652,1652,74,1487,0,25,0,10,56,1652,1627,74,1472,0,25,0,0,56,25,0,15,0,0,0,10,0,29,0,29,1652,230,209,116,126,184,787,59,45,14
17,031,380600,14000US17031380600,Census Tract 3806,,55141,4044,4044,430,3422,0,104,0,26,62,4044,3925,430,3343,0,90,0,0,62,119,0,79,0,14,0,26,0,106,0,106,4011,727,374,286,308,639,1677,928,341,587
17,031,381200,14000US17031381200,Census Tract 3812,,89604,1664,1664,0,1595,0,0,0,0,69,1664,1664,0,1595,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,1664,173,124,84,76,79,1128,203,0,203
17,031,381400,14000US17031381400,Census Tract 3814,,30455,1672,1672,11,1445,0,57,0,0,159,1672,1531,11,1445,0,57,0,0,18,141,0,0,0,0,0,0,141,192,0,192,1672,213,150,17,278,217,797,476,111,365
17,031,381500,14000US17031381500,Census Tract 3815,,20776,612,612,14,574,0,5,0,0,19,612,612,14,574,0,5,0,0,19,0,0,0,0,0,0,0,0,48,0,48,612,182,56,51,107,47,169,139,123,16
17,031,381700,14000US17031381700,Census Tract 3817,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,031,381800,14000US17031381800,Census Tract 3818,,91833,1251,1251,102,1049,0,28,0,9,63,1251,1216,102,1049,0,28,0,9,28,35,0,0,0,0,0,0,35,109,68,41,1223,159,75,94,45,63,787,167,0,167
17,031,381900,14000US17031381900,Census Tract 3819,,57903,1275,1275,23,1126,6,6,0,0,114,1275,1259,23,1126,6,6,0,0,98,16,0,0,0,0,0,0,16,113,0,113,1267,177,47,38,65,203,737,276,90,186
17,031,390100,14000US17031390100,Census Tract 3901,,111765,1714,1714,145,1386,19,36,7,43,78,1714,1632,133,1329,19,36,0,37,78,82,12,57,0,0,7,6,0,108,0,108,1672,136,25,5,104,155,1247,468,37,431
17,031,390200,14000US17031390200,Census Tract 3902,,107143,2227,2227,406,1495,0,154,0,20,152,2227,2140,406,1428,0,154,0,0,152,87,0,67,0,0,0,20,0,83,0,83,2227,207,36,17,194,120,1653,658,139,519
17,031,390300,14000US17031390300,Census Tract 3903,,48160,2890,2890,363,2496,6,0,0,4,21,2890,2790,326,2437,6,0,0,0,21,100,37,59,0,0,0,4,0,37,0,37,2727,682,333,213,222,84,1193,627,460,167
17,031,390400,14000US17031390400,Census Tract 3904,,,2357,2357,245,2018,0,0,0,0,94,2357,2323,221,2018,0,0,0,0,84,34,24,0,0,0,0,0,10,17,0,17,2357,615,143,311,212,132,944,462,347,115
17,031,390500,14000US17031390500,Census Tract 3905,,85078,1741,1741,538,999,0,63,0,19,122,1741,1631,468,999,0,63,0,0,101,110,70,0,0,0,0,19,21,53,6,47,1741,140,112,74,95,153,1167,337,70,267
17,031,390600,14000US17031390600,Census Tract 3906,,210280,1706,1706,780,738,0,108,0,16,64,1706,1659,741,738,0,108,0,16,56,47,39,0,0,0,0,0,8,50,0,50,1706,192,114,35,45,53,1267,294,33,261
17,031,390700,14000US17031390700,Census Tract 3907,,119261,5857,5857,1606,3276,0,694,0,17,264,5857,5770,1580,3276,0,694,0,0,220,87,26,0,0,0,0,17,44,240,0,240,5857,765,99,207,182,505,4099,551,46,505
17,031,400300,14000US17031400300,Census Tract 4003,,43017,1211,1211,44,1161,0,0,0,6,0,1211,1193,44,1149,0,0,0,0,0,18,0,12,0,0,0,6,0,26,0,26,1211,86,127,21,158,270,549,265,77,188
17,031,400400,14000US17031400400,Census Tract 4004,,38520,2152,2152,76,2018,16,0,0,10,32,2152,2116,76,2008,0,0,0,0,32,36,0,10,16,0,0,10,0,142,51,91,2127,590,149,67,152,337,832,653,354,299
17,031,400500,14000US17031400500,Census Tract 4005,,21467,2348,2348,28,2320,0,0,0,0,0,2348,2295,11,2284,0,0,0,0,0,53,17,36,0,0,0,0,0,209,0,209,2348,618,479,66,234,455,496,960,609,351
17,031,400800,14000US17031400800,Census Tract 4008,,,2462,2462,38,2421,0,0,0,0,3,2462,2431,7,2421,0,0,0,0,3,31,31,0,0,0,0,0,0,355,62,293,2462,641,710,332,105,113,561,636,487,149
17,031,410100,14000US17031410100,Census Tract 4101,,156964,2202,2202,867,904,0,203,0,10,218,2202,2051,756,904,0,203,0,10,178,151,111,0,0,0,0,0,40,52,0,52,2202,264,137,69,22,147,1563,96,0,96
17,031,410200,14000US17031410200,Census Tract 4102,,111500,1484,1484,674,474,0,188,0,28,120,1484,1258,552,474,0,182,0,5,45,226,122,0,0,6,0,23,75,55,0,55,1368,269,17,87,106,51,838,154,21,133
17,031,410500,14000US17031410500,Census Tract 4105,,122500,2891,2891,1170,1106,0,442,0,28,145,2891,2698,1005,1106,0,442,0,0,145,193,165,0,0,0,0,28,0,205,0,205,2802,424,111,111,141,150,1865,362,37,325
17,031,410600,14000US17031410600,Census Tract 4106,,137750,2245,2245,1163,455,12,387,0,37,191,2245,1984,1083,455,0,296,0,22,128,261,80,0,12,91,0,15,63,136,0,136,2076,597,53,77,103,45,1201,155,10,145
17,031,410700,14000US17031410700,Census Tract 4107,,107500,2564,2564,1324,533,0,427,0,88,192,2564,2372,1242,533,0,410,0,29,158,192,82,0,0,17,0,59,34,73,0,73,2564,617,131,145,209,81,1381,286,81,205
17,031,410800,14000US17031410800,Census Tract 4108,,81928,2907,2907,1443,476,0,614,0,103,271,2907,2691,1326,476,0,614,0,90,185,216,117,0,0,0,0,13,86,57,0,57,2877,431,144,61,224,218,1799,330,42,288
17,031,410900,14000US17031410900,Census Tract 4109,,127093,3427,3427,2054,773,7,316,0,22,255,3427,3253,1933,773,7,301,0,12,227,174,121,0,0,15,0,10,28,92,0,92,3427,497,51,106,147,75,2551,386,65,321
17,031,411000,14000US17031411000,Census Tract 4110,,108802,3741,3741,1517,1455,70,399,0,237,63,3741,3585,1486,1404,32,397,0,203,63,156,31,51,38,2,0,34,0,207,0,207,3491,453,48,436,72,181,2301,451,301,150
17,031,411100,14000US17031411100,Census Tract 4111,,166250,2416,2416,1541,91,4,432,0,46,302,2416,2298,1455,91,0,432,0,34,286,118,86,0,4,0,0,12,16,378,0,378,2055,174,44,22,48,59,1708,482,21,461
17,031,411200,14000US17031411200,Census Tract 4112,,250001,1646,1646,1096,77,0,330,0,8,135,1646,1535,1029,71,0,330,0,0,105,111,67,6,0,0,0,8,30,52,0,52,1640,167,30,37,18,25,1363,301,11,290
17,031,420100,14000US17031420100,Census Tract 4201,,,1567,1567,63,1392,0,11,0,0,101,1567,1514,58,1344,0,11,0,0,101,53,5,48,0,0,0,0,0,96,0,96,1567,262,208,212,114,102,669,284,179,105
17,031,420200,14000US17031420200,Census Tract 4202,,29583,1753,1753,416,1087,11,145,0,26,68,1753,1694,395,1087,11,145,0,6,50,59,21,0,0,0,0,20,18,65,0,65,1628,408,187,64,212,162,595,438,190,248
17,031,420300,14000US17031420300,Census Tract 4203,,,2552,2552,1090,904,0,411,0,0,147,2552,2308,939,860,0,411,0,0,98,244,151,44,0,0,0,0,49,924,0,924,1432,164,183,75,181,133,696,265,122,143
17,031,420400,14000US17031420400,Census Tract 4204,,32414,1173,1173,331,633,0,162,0,13,34,1173,1061,259,612,0,162,0,6,22,112,72,21,0,0,0,7,12,89,22,67,1173,363,34,51,126,225,374,216,100,116
17,031,420500,14000US17031420500,Census Tract 4205,,31071,1978,1978,28,1902,0,41,0,0,7,1978,1960,17,1902,0,41,0,0,0,18,11,0,0,0,0,0,7,52,23,29,1978,335,139,214,418,254,618,424,208,216
17,031,420600,14000US17031420600,Census Tract 4206,,44444,2104,2104,80,1984,0,0,0,0,40,2104,2095,80,1975,0,0,0,0,40,9,0,9,0,0,0,0,0,174,23,151,2104,283,253,233,266,28,1041,544,246,298
17,031,420700,14000US17031420700,Census Tract 4207,,30821,2593,2593,27,2508,0,0,0,29,29,2593,2593,27,2508,0,0,0,29,29,0,0,0,0,0,0,0,0,100,24,76,2593,607,179,292,560,585,370,729,454,275
17,031,420800,14000US17031420800,Census Tract 4208,,56694,2563,2563,129,2198,0,24,0,0,212,2563,2563,129,2198,0,24,0,0,212,0,0,0,0,0,0,0,0,86,0,86,2546,365,77,131,453,130,1390,608,164,444
17,031,421200,14000US17031421200,Census Tract 4212,,36658,1994,1994,44,1896,37,0,0,0,17,1994,1968,18,1896,37,0,0,0,17,26,26,0,0,0,0,0,0,0,0,0,1928,90,74,255,1003,215,291,372,89,283
17,031,430101,14000US17031430101,Census Tract 4301.01,,34493,3090,3090,43,2987,0,27,0,33,0,3090,3023,43,2953,0,27,0,0,0,67,0,34,0,0,0,33,0,31,0,31,3090,421,262,345,375,393,1294,504,132,372
17,031,430102,14000US17031430102,Census Tract 4301.02,,41964,3602,3602,95,3357,0,29,0,0,121,3602,3556,81,3357,0,29,0,0,89,46,14,0,0,0,0,0,32,107,0,107,3602,361,309,189,367,223,2153,410,144,266
17,031,430200,14000US17031430200,Census Tract 4302,,54130,5560,5560,472,4962,0,36,0,0,90,5560,5309,243,4944,0,36,0,0,86,251,229,18,0,0,0,0,4,39,20,19,5560,743,537,263,671,499,2847,919,344,575
17,031,430300,14000US17031430300,Census Tract 4303,,31923,2437,2437,40,2373,0,1,0,0,23,2437,2368,23,2344,0,1,0,0,0,69,17,29,0,0,0,0,23,44,7,37,2362,479,158,123,469,345,788,938,354,584
17,031,430400,14000US17031430400,Census Tract 4304,,52750,3184,3184,100,2949,11,0,0,0,124,3184,3148,100,2924,0,0,0,0,124,36,0,25,11,0,0,0,0,94,15,79,3130,580,140,330,209,223,1648,700,315,385
17,031,430500,14000US17031430500,Census Tract 4305,,,3781,3781,62,3686,0,0,0,0,33,3781,3739,53,3686,0,0,0,0,0,42,9,0,0,0,0,0,33,197,43,154,3739,833,275,280,565,523,1263,746,446,300
17,031,430600,14000US17031430600,Census Tract 4306,,69375,2168,2168,72,1989,0,10,0,21,76,2168,2098,23,1989,0,10,0,0,76,70,49,0,0,0,0,21,0,118,0,118,2168,216,124,138,96,236,1358,602,63,539
17,031,430700,14000US17031430700,Census Tract 4307,,44940,2831,2831,143,2662,0,0,0,0,26,2831,2820,132,2662,0,0,0,0,26,11,11,0,0,0,0,0,0,52,0,52,2590,619,280,63,178,253,1197,760,387,373
17,031,430800,14000US17031430800,Census Tract 4308,,67813,2013,2013,6,2007,0,0,0,0,0,2013,1967,6,1961,0,0,0,0,0,46,0,46,0,0,0,0,0,109,0,109,1993,319,57,164,99,127,1227,333,147,186
17,031,430900,14000US17031430900,Census Tract 4309,,71827,1653,1653,9,1616,0,2,26,0,0,1653,1653,9,1616,0,2,26,0,0,0,0,0,0,0,0,0,0,25,0,25,1653,207,93,60,103,71,1119,249,76,173
17,031,431200,14000US17031431200,Census Tract 4312,,77670,2805,2805,13,2750,0,0,0,0,42,2805,2794,13,2739,0,0,0,0,42,11,0,11,0,0,0,0,0,101,12,89,2776,334,28,103,71,262,1978,310,103,207
17,031,431301,14000US17031431301,Census Tract 4313.01,,41296,3558,3558,192,3274,0,29,0,32,31,3558,3503,192,3251,0,29,0,0,31,55,0,23,0,0,0,32,0,238,16,222,3558,595,180,40,993,477,1273,920,207,713
17,031,431302,14000US17031431302,Census Tract 4313.02,,26250,3260,3260,186,2894,0,0,0,180,0,3260,2803,46,2757,0,0,0,0,0,457,140,137,0,0,0,180,0,128,0,128,3260,729,753,466,192,112,1008,1125,968,157
17,031,431400,14000US17031431400,Census Tract 4314,,36157,7635,7635,417,6818,0,109,0,99,192,7635,7404,386,6760,0,109,0,0,149,231,31,58,0,0,0,99,43,107,0,107,7051,906,401,1639,333,918,2854,1581,903,678
17,031,440101,14000US17031440101,Census Tract 4401.01,,30142,4680,4680,15,4525,0,0,0,29,111,4680,4639,8,4525,0,0,0,0,106,41,7,0,0,0,0,29,5,240,103,137,4680,901,443,360,853,791,1332,1081,544,537
