Name,Address,City,State,Zip,Longitude,Latitude,Match Score
8500/8600 Dante Block Club,8505 S Dante Ave,Chicago,IL,,-87.58910694513,41.740305075301,100
8600 S Manistee Block Club,8600 S Manistee Ave,Chicago,IL,,-87.55755461173,41.73895726527,100
900 N St. Louis Block Club,900 North St Louis Ave,Chicago,IL,,-87.713933432342,41.897438853931,100
9400 Rhodes Block Club,9442 S Rhodes Ave,Chicago,IL,60619,-87.610568305296,41.72251716802,100
94th and Eberhart,9400 S Eberhart Ave,Chicago,IL,,-87.611814861936,41.72359151846,100
97th & Prairie Block Club,9706 S. Prairie Ave,Chicago,IL,60628,-87.617701304899,41.717900164294,100
9900 S Morgan Block Club,9900 S Morgan St,Chicago,IL,,-87.647884873509,41.713906019793,100
99th 100 Wentworth Partner,10014 S Wentworth Ave,Chicago,IL,,-87.6284598129,41.712099342473,100
99th and 100th Green Street Block Club,10030 S. Green St,Chicago,IL,,-87.644201027064,41.711409386113,100
ChiLove,7058 S Eggleston,Chicago,IL,,-87.635952563787,41.765515283572,98.71
Club 5300,5353 w potomac,Chicago,IL,,-87.760362973325,41.903972547457,98.71
Dauphin Avenue Civic Organization,837 E. 88th Place,Chicago,IL,,-87.603132802808,41.733909683178,100
Ellis & Marquette Block Club,6549 S Ellis Ave,Chicago,IL,,-87.600898774155,41.775441300951,100
Evans Elite,7900 S Evans Avenue,Chicago,IL,,-87.606506791008,41.751202717505,100
Golden Gate Homeowners Association,13134 S. Vernon Ave,Chicago,IL,,-87.611615624098,41.656715414327,100
Granny’s Block,12000 S. Perry Ave,Chicago,IL,,-87.625023735513,41.676039179636,100
KECS Block Club Association,8034 S. Phillips Ave,Chicago,IL,,-87.564991203866,41.748852269607,100
Kildare Block Club Association,1247 S Kildare Ave,Chicago,IL,60623,-87.732432544107,41.864721016895,100
"Lora The Garden of Love, Hope Joy",620 N Lorel Ave.,Chicago,IL,,-87.759233008958,41.89182243398,100
Lotus Neighbors for Action,45 N Lotus Ave,Chicago,IL,,-87.761542726197,41.881712224279,100
LSV4SC block club,2205 N Central Ave,Chicago,IL,,-87.765756151675,41.920428614678,100
Manistee 130th to 131st,13000 S Manistee Ave,Chicago,IL,,-87.555696673652,41.659132707903,100
My Block Beautiful,4518 W Vanburen,Chicago,IL,,-87.738538592932,41.875135447772,98.71
Paradise merrill Block Club,7017 S Merrill Ave,Chicago,IL,60649,-87.572633152628,41.767516882051,100
Spirit of 76th & Hermitage Block Club,7622 S. Hermitage Ave,Chicago,IL,,-87.667218236098,41.755070342568,100
The 600 Block Of Drake,646 N Drake Ave,Chicago,IL,60624,-87.715038837732,41.893211105789,100
The Grand Blvd Block Club,4055 S Calumet Ave,Chicago,IL,,-87.618408486069,41.820441224529,100
THE GREAT 68TH,6831 S. Wood Street,Chicago,IL,,-87.668794788266,41.769376239632,100
The Springfield Saints,1347 S. Springfield Ave,Chicago,IL,60623,-87.722631836181,41.862994093384,100
Union Avenue Neighbors' Association,8700 S Union Ave,Chicago,IL,,-87.641235517024,41.735801769232,100
Vernon Block Club,6449 S Vernon Ave.,Chicago,IL,,-87.614309148683,41.777023007989,100
