"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Civilian Population 16 to 19 Years:","Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"17031242700","Census Tract 2427, Cook County, Illinois","ACSSF","il","140","00","0006292",,,,,"17","031",,,"242700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031242700","Census Tract 2427",,,,65781,30,0,30,1395,99,1296,1074,777,241,47,21,1823,1169,832,250,0,33,0,0,54,654,287,69,0,11,0,77,210
"17031242800","Census Tract 2428, Cook County, Illinois","ACSSF","il","140","00","0006293",,,,,"17","031",,,"242800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031242800","Census Tract 2428",,,,127813,16,0,16,1238,89,1149,960,756,300,109,21,1561,1206,1172,12,0,15,0,0,7,355,204,0,0,18,0,127,6
"17031242900","Census Tract 2429, Cook County, Illinois","ACSSF","il","140","00","0006294",,,,,"17","031",,,"242900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031242900","Census Tract 2429",,,,122857,58,0,58,1447,87,1360,1285,1042,419,133,45,1869,1436,1145,80,0,116,0,0,95,433,98,18,0,0,0,35,282
"17031243000","Census Tract 2430, Cook County, Illinois","ACSSF","il","140","00","0006295",,,,,"17","031",,,"243000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031243000","Census Tract 2430",,,,106250,0,0,0,1884,33,1851,1674,1231,463,208,26,2201,1666,1319,28,0,142,0,46,131,535,63,0,19,0,0,453,0
"17031243100","Census Tract 2431, Cook County, Illinois","ACSSF","il","140","00","0006296",,,,,"17","031",,,"243100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031243100","Census Tract 2431",,,,103750,21,0,21,1720,108,1612,1424,1183,537,165,50,2225,1410,1139,18,0,123,0,32,98,815,408,0,0,21,0,93,293
"17031243200","Census Tract 2432, Cook County, Illinois","ACSSF","il","140","00","0006297",,,,,"17","031",,,"243200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031243200","Census Tract 2432",,,,118553,24,0,24,1749,42,1707,1583,1339,565,87,24,2154,1738,1379,162,0,169,0,0,28,416,265,0,0,6,0,101,44
"17031243300","Census Tract 2433, Cook County, Illinois","ACSSF","il","140","00","0006298",,,,,"17","031",,,"243300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031243300","Census Tract 2433",,,,115855,45,0,45,1852,135,1717,1520,1311,451,139,35,2191,1737,1507,88,0,88,0,0,54,454,213,0,0,0,0,241,0
"17031243400","Census Tract 2434, Cook County, Illinois","ACSSF","il","140","00","0006299",,,,,"17","031",,,"243400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031243400","Census Tract 2434",,,,101450,132,0,132,2460,241,2219,1970,1703,717,175,56,3013,2035,1670,78,0,212,0,0,75,978,507,0,0,0,0,218,253
"17031243500","Census Tract 2435, Cook County, Illinois","ACSSF","il","140","00","0006300",,,,,"17","031",,,"243500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031243500","Census Tract 2435",,,,148646,136,20,116,3568,19,3549,3302,2851,1072,347,127,4362,3836,2767,707,0,220,0,0,142,526,37,40,0,0,0,0,449
"17031250200","Census Tract 2502, Cook County, Illinois","ACSSF","il","140","00","0006301",,,,,"17","031",,,"250200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031250200","Census Tract 2502",,,,55208,137,0,137,2111,455,1656,945,400,116,9,9,3183,1615,75,1525,0,0,0,0,15,1568,683,77,0,0,0,784,24
"17031250300","Census Tract 2503, Cook County, Illinois","ACSSF","il","140","00","0006302",,,,,"17","031",,,"250300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031250300","Census Tract 2503",,,,42935,373,0,373,2972,684,2288,1431,527,253,82,10,5095,3728,177,3396,0,27,0,0,128,1367,401,0,0,0,0,893,73
"17031250400","Census Tract 2504, Cook County, Illinois","ACSSF","il","140","00","0006303",,,,,"17","031",,,"250400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031250400","Census Tract 2504",,,,47500,346,0,346,3739,744,2995,1958,599,251,34,0,5467,4258,181,4077,0,0,0,0,0,1209,611,0,0,0,0,598,0
"17031250500","Census Tract 2505, Cook County, Illinois","ACSSF","il","140","00","0006304",,,,,"17","031",,,"250500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031250500","Census Tract 2505",,,,104659,268,0,268,4997,388,4609,3673,2525,1285,301,159,6727,4423,2573,1596,0,134,0,0,120,2304,682,55,23,0,0,929,615
"17031250600","Census Tract 2506, Cook County, Illinois","ACSSF","il","140","00","0006305",,,,,"17","031",,,"250600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031250600","Census Tract 2506",,,,56985,227,14,213,2885,393,2492,1449,475,264,112,26,4658,3793,112,3680,0,0,0,0,1,865,171,61,0,0,0,407,226
"17031250700","Census Tract 2507, Cook County, Illinois","ACSSF","il","140","00","0006306",,,,,"17","031",,,"250700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031250700","Census Tract 2507",,,,43358,272,0,272,3923,589,3334,2178,538,311,109,42,5965,4773,19,4419,0,0,0,274,61,1192,350,0,0,0,0,648,194
"17031250800","Census Tract 2508, Cook County, Illinois","ACSSF","il","140","00","0006307",,,,,"17","031",,,"250800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031250800","Census Tract 2508",,,,61229,203,28,175,1641,301,1340,822,212,153,58,40,2525,2249,31,2201,0,9,0,0,8,276,111,0,0,0,0,165,0
"17031251000","Census Tract 2510, Cook County, Illinois","ACSSF","il","140","00","0006308",,,,,"17","031",,,"251000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251000","Census Tract 2510",,,,29915,45,0,45,702,90,612,237,96,13,0,0,1106,734,0,734,0,0,0,0,0,372,70,0,0,0,0,302,0
"17031251100","Census Tract 2511, Cook County, Illinois","ACSSF","il","140","00","0006309",,,,,"17","031",,,"251100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251100","Census Tract 2511",,,,29460,297,0,297,3112,918,2194,1222,288,113,27,27,4767,3483,81,3401,0,1,0,0,0,1284,676,11,60,0,0,262,275
"17031251200","Census Tract 2512, Cook County, Illinois","ACSSF","il","140","00","0006310",,,,,"17","031",,,"251200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251200","Census Tract 2512",,,,42522,95,12,83,3043,556,2487,1241,198,62,0,0,4107,2892,29,2863,0,0,0,0,0,1215,331,87,0,0,0,548,249
"17031251300","Census Tract 2513, Cook County, Illinois","ACSSF","il","140","00","0006311",,,,,"17","031",,,"251300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251300","Census Tract 2513",,,,37026,280,42,238,2769,445,2324,1173,269,68,0,0,4231,3854,86,3701,0,0,0,0,67,377,28,29,0,0,0,123,197
"17031251400","Census Tract 2514, Cook County, Illinois","ACSSF","il","140","00","0006312",,,,,"17","031",,,"251400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251400","Census Tract 2514",,,,18806,12,0,12,2959,292,2667,1305,485,187,19,0,3771,3689,477,3140,0,0,0,15,57,82,41,0,0,0,0,41,0
"17031251500","Census Tract 2515, Cook County, Illinois","ACSSF","il","140","00","0006313",,,,,"17","031",,,"251500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251500","Census Tract 2515",,,,38702,184,0,184,3015,794,2221,1108,315,73,0,0,4305,3735,138,3499,0,61,0,0,37,570,314,36,0,0,0,220,0
"17031251600","Census Tract 2516, Cook County, Illinois","ACSSF","il","140","00","0006314",,,,,"17","031",,,"251600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251600","Census Tract 2516",,,,32593,272,62,210,2447,452,1995,1014,158,64,12,2,4518,3241,4,3122,0,0,0,55,60,1277,2,248,0,0,0,362,665
"17031251700","Census Tract 2517, Cook County, Illinois","ACSSF","il","140","00","0006315",,,,,"17","031",,,"251700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251700","Census Tract 2517",,,,52031,80,0,80,958,144,814,420,114,24,0,0,1368,1062,29,1033,0,0,0,0,0,306,138,0,0,0,0,37,131
"17031251800","Census Tract 2518, Cook County, Illinois","ACSSF","il","140","00","0006316",,,,,"17","031",,,"251800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251800","Census Tract 2518",,,,26940,388,35,353,3315,407,2908,1341,267,135,47,0,4973,4691,143,4454,0,0,0,0,94,282,3,0,0,0,0,279,0
"17031251900","Census Tract 2519, Cook County, Illinois","ACSSF","il","140","00","0006317",,,,,"17","031",,,"251900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031251900","Census Tract 2519",,,,26830,231,15,216,3456,358,3098,1803,285,95,21,0,5476,5230,77,5030,0,0,0,0,123,246,31,40,0,0,0,175,0
"17031252000","Census Tract 2520, Cook County, Illinois","ACSSF","il","140","00","0006318",,,,,"17","031",,,"252000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031252000","Census Tract 2520",,,,27156,204,52,152,3825,508,3317,1839,508,214,46,28,5557,5426,208,5101,0,0,0,0,117,131,0,34,0,0,0,97,0
"17031252101","Census Tract 2521.01, Cook County, Illinois","ACSSF","il","140","00","0006319",,,,,"17","031",,,"252101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031252101","Census Tract 2521.01",,,,,20,0,20,1012,103,909,531,233,145,20,0,1322,1283,16,1245,0,0,0,0,22,39,7,32,0,0,0,0,0
"17031252102","Census Tract 2521.02, Cook County, Illinois","ACSSF","il","140","00","0006320",,,,,"17","031",,,"252102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031252102","Census Tract 2521.02",,,,45969,322,0,322,3713,455,3258,1764,399,70,0,0,6752,6011,143,5501,0,0,0,0,367,741,33,18,0,0,0,595,95
"17031252201","Census Tract 2522.01, Cook County, Illinois","ACSSF","il","140","00","0006321",,,,,"17","031",,,"252201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031252201","Census Tract 2522.01",,,,39702,77,0,77,2119,358,1761,937,264,71,15,15,2760,2657,134,2503,0,7,0,0,13,103,7,36,9,0,0,26,25
"17031252202","Census Tract 2522.02, Cook County, Illinois","ACSSF","il","140","00","0006322",,,,,"17","031",,,"252202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031252202","Census Tract 2522.02",,,,37188,119,0,119,3017,621,2396,1401,224,111,15,0,4795,4725,36,4624,0,55,10,0,0,70,0,0,0,29,0,28,13
"17031260100","Census Tract 2601, Cook County, Illinois","ACSSF","il","140","00","0006323",,,,,"17","031",,,"260100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260100","Census Tract 2601",,,,21188,17,0,17,863,225,638,292,84,12,0,0,1075,980,84,874,0,3,0,0,19,95,0,25,0,0,0,70,0
"17031260200","Census Tract 2602, Cook County, Illinois","ACSSF","il","140","00","0006324",,,,,"17","031",,,"260200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260200","Census Tract 2602",,,,41506,93,0,93,788,273,515,305,78,49,5,5,1170,1087,5,1070,0,0,0,12,0,83,15,0,0,0,0,68,0
"17031260300","Census Tract 2603, Cook County, Illinois","ACSSF","il","140","00","0006325",,,,,"17","031",,,"260300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260300","Census Tract 2603",,,,18803,71,0,71,1118,371,747,404,20,0,0,0,1842,1666,19,1644,0,0,0,0,3,176,37,0,0,0,0,139,0
"17031260400","Census Tract 2604, Cook County, Illinois","ACSSF","il","140","00","0006326",,,,,"17","031",,,"260400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260400","Census Tract 2604",,,,,0,0,0,833,252,581,329,35,0,0,0,1238,1238,0,1228,0,0,0,0,10,0,0,0,0,0,0,0,0
"17031260500","Census Tract 2605, Cook County, Illinois","ACSSF","il","140","00","0006327",,,,,"17","031",,,"260500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260500","Census Tract 2605",,,,40985,79,0,79,1259,336,923,596,73,29,0,0,1791,1754,3,1751,0,0,0,0,0,37,14,21,2,0,0,0,0
"17031260600","Census Tract 2606, Cook County, Illinois","ACSSF","il","140","00","0006328",,,,,"17","031",,,"260600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260600","Census Tract 2606",,,,43427,238,0,238,1139,357,782,476,111,22,0,0,2324,2268,30,2228,0,10,0,0,0,56,34,0,0,0,0,0,22
"17031260700","Census Tract 2607, Cook County, Illinois","ACSSF","il","140","00","0006329",,,,,"17","031",,,"260700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260700","Census Tract 2607",,,,30694,117,0,117,1110,373,737,347,91,37,29,0,1602,1505,28,1477,0,0,0,0,0,97,0,0,0,0,0,97,0
"17031260800","Census Tract 2608, Cook County, Illinois","ACSSF","il","140","00","0006330",,,,,"17","031",,,"260800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260800","Census Tract 2608",,,,37708,56,0,56,1321,174,1147,581,62,29,12,0,2337,2325,126,2112,0,0,0,0,87,12,0,0,0,0,0,0,12
"17031260900","Census Tract 2609, Cook County, Illinois","ACSSF","il","140","00","0006331",,,,,"17","031",,,"260900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031260900","Census Tract 2609",,,,24112,145,6,139,870,84,786,374,88,20,0,0,1467,1397,144,1225,0,0,0,0,28,70,39,9,0,0,0,6,16
"17031261000","Census Tract 2610, Cook County, Illinois","ACSSF","il","140","00","0006332",,,,,"17","031",,,"261000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031261000","Census Tract 2610",,,,40684,175,14,161,1650,167,1483,865,105,34,0,0,2443,2367,0,2352,0,0,0,0,15,76,60,0,0,0,0,16,0
"17031270500","Census Tract 2705, Cook County, Illinois","ACSSF","il","140","00","0006333",,,,,"17","031",,,"270500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031270500","Census Tract 2705",,,,19107,77,0,77,795,270,525,241,95,13,0,0,1302,1293,16,1277,0,0,0,0,0,9,9,0,0,0,0,0,0
"17031271200","Census Tract 2712, Cook County, Illinois","ACSSF","il","140","00","0006334",,,,,"17","031",,,"271200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031271200","Census Tract 2712",,,,27784,61,14,47,781,191,590,415,166,46,0,0,1283,1262,54,1148,0,13,0,0,47,21,5,0,0,0,0,0,16
"17031271300","Census Tract 2713, Cook County, Illinois","ACSSF","il","140","00","0006335",,,,,"17","031",,,"271300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031271300","Census Tract 2713",,,,33750,84,0,84,545,106,439,298,101,28,6,0,1033,996,8,902,0,20,0,0,66,37,3,0,0,0,0,34,0
"17031271400","Census Tract 2714, Cook County, Illinois","ACSSF","il","140","00","0006336",,,,,"17","031",,,"271400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031271400","Census Tract 2714",,,,27273,93,0,93,848,95,753,382,143,10,6,0,1350,1300,114,1061,0,21,0,0,104,50,0,13,0,0,0,37,0
"17031271500","Census Tract 2715, Cook County, Illinois","ACSSF","il","140","00","0006337",,,,,"17","031",,,"271500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031271500","Census Tract 2715",,,,37857,27,0,27,975,131,844,585,167,61,0,0,1440,1386,41,1242,0,0,0,37,66,54,27,24,0,0,0,3,0
"17031271800","Census Tract 2718, Cook County, Illinois","ACSSF","il","140","00","0006338",,,,,"17","031",,,"271800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031271800","Census Tract 2718",,,,50441,0,0,0,353,33,320,139,82,30,0,0,554,535,0,535,0,0,0,0,0,19,0,0,0,0,0,19,0
"17031280100","Census Tract 2801, Cook County, Illinois","ACSSF","il","140","00","0006339",,,,,"17","031",,,"280100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031280100","Census Tract 2801",,,,131742,10,0,10,6424,33,6391,6306,5951,3122,1342,542,7016,6563,4833,131,0,1385,0,0,214,453,346,0,0,0,0,55,52
"17031280400","Census Tract 2804, Cook County, Illinois","ACSSF","il","140","00","0006340",,,,,"17","031",,,"280400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031280400","Census Tract 2804",,,,65972,79,3,76,1006,185,821,599,278,122,36,36,1471,1324,311,1013,0,0,0,0,0,147,35,0,0,22,0,52,38
"17031280800","Census Tract 2808, Cook County, Illinois","ACSSF","il","140","00","0006341",,,,,"17","031",,,"280800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031280800","Census Tract 2808",,,,21786,46,0,46,571,105,466,247,128,35,0,0,863,796,40,739,0,0,0,0,17,67,46,21,0,0,0,0,0
"17031280900","Census Tract 2809, Cook County, Illinois","ACSSF","il","140","00","0006342",,,,,"17","031",,,"280900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031280900","Census Tract 2809",,,,,51,0,51,673,8,665,511,329,84,5,0,1075,1051,71,897,0,83,0,0,0,24,24,0,0,0,0,0,0
"17031281900","Census Tract 2819, Cook County, Illinois","ACSSF","il","140","00","0006343",,,,,"17","031",,,"281900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031281900","Census Tract 2819",,,,118669,66,0,66,5333,69,5264,5032,4752,2522,570,257,6592,5944,3195,165,0,2389,0,19,176,648,216,21,0,0,0,122,289
"17031282700","Census Tract 2827, Cook County, Illinois","ACSSF","il","140","00","0006344",,,,,"17","031",,,"282700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031282700","Census Tract 2827",,,,77826,77,0,77,1405,43,1362,981,661,355,108,31,2275,1750,608,776,0,259,0,0,107,525,194,43,14,0,0,224,50
"17031282800","Census Tract 2828, Cook County, Illinois","ACSSF","il","140","00","0006345",,,,,"17","031",,,"282800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031282800","Census Tract 2828",,,,74158,52,0,52,987,74,913,795,656,296,131,35,1610,903,478,164,0,236,0,0,25,707,183,0,0,0,0,410,114
"17031283100","Census Tract 2831, Cook County, Illinois","ACSSF","il","140","00","0006346",,,,,"17","031",,,"283100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031283100","Census Tract 2831",,,,41555,33,0,33,2160,271,1889,1615,1289,754,439,331,2980,2471,663,739,0,976,0,0,93,509,148,0,0,0,0,264,97
"17031283200","Census Tract 2832, Cook County, Illinois","ACSSF","il","140","00","0006347",,,,,"17","031",,,"283200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031283200","Census Tract 2832",,,,53153,65,0,65,1018,34,984,860,612,295,125,29,1787,1594,463,891,0,175,0,7,58,193,79,0,60,0,0,19,35
"17031283800","Census Tract 2838, Cook County, Illinois","ACSSF","il","140","00","0006348",,,,,"17","031",,,"283800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031283800","Census Tract 2838",,,,76615,77,0,77,2438,214,2224,1808,1307,525,169,102,3656,3497,1101,2065,0,321,0,10,0,159,85,0,0,0,0,63,11
"17031290900","Census Tract 2909, Cook County, Illinois","ACSSF","il","140","00","0006349",,,,,"17","031",,,"290900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031290900","Census Tract 2909",,,,31528,379,38,341,2628,461,2167,1228,193,67,23,23,4366,4366,39,4313,0,0,0,0,14,0,0,0,0,0,0,0,0
"17031291200","Census Tract 2912, Cook County, Illinois","ACSSF","il","140","00","0006350",,,,,"17","031",,,"291200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031291200","Census Tract 2912",,,,26250,229,0,229,1147,206,941,645,162,13,0,0,1933,1915,2,1913,0,0,0,0,0,18,0,0,0,0,0,18,0
"17031291600","Census Tract 2916, Cook County, Illinois","ACSSF","il","140","00","0006351",,,,,"17","031",,,"291600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031291600","Census Tract 2916",,,,110167,26,0,26,964,337,627,505,261,162,56,30,1396,391,323,68,0,0,0,0,0,1005,176,0,0,0,0,740,89
"17031292200","Census Tract 2922, Cook County, Illinois","ACSSF","il","140","00","0006352",,,,,"17","031",,,"292200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031292200","Census Tract 2922",,,,32192,111,22,89,1592,339,1253,814,268,70,15,0,2580,2356,82,2093,0,32,0,141,8,224,33,120,0,0,0,39,32
"17031292400","Census Tract 2924, Cook County, Illinois","ACSSF","il","140","00","0006353",,,,,"17","031",,,"292400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031292400","Census Tract 2924",,,,44801,146,0,146,1249,251,998,624,173,56,0,0,1880,1779,351,1427,0,1,0,0,0,101,83,18,0,0,0,0,0
"17031292500","Census Tract 2925, Cook County, Illinois","ACSSF","il","140","00","0006354",,,,,"17","031",,,"292500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031292500","Census Tract 2925",,,,46847,139,31,108,2510,280,2230,1468,627,168,9,9,3698,3153,74,2898,0,0,0,110,71,545,184,43,0,0,0,133,185
"17031300500","Census Tract 3005, Cook County, Illinois","ACSSF","il","140","00","0006355",,,,,"17","031",,,"300500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031300500","Census Tract 3005",,,,49500,103,0,103,2296,951,1345,740,368,106,0,0,3214,222,161,61,0,0,0,0,0,2992,1222,10,212,0,0,1138,410
"17031300600","Census Tract 3006, Cook County, Illinois","ACSSF","il","140","00","0006356",,,,,"17","031",,,"300600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031300600","Census Tract 3006",,,,46839,169,0,169,1941,807,1134,398,105,18,0,0,2862,483,96,351,0,0,0,0,36,2379,622,0,0,0,24,1696,37
"17031300700","Census Tract 3007, Cook County, Illinois","ACSSF","il","140","00","0006357",,,,,"17","031",,,"300700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031300700","Census Tract 3007",,,,43801,439,0,439,2937,1222,1715,696,457,191,98,0,4740,149,59,48,0,42,0,0,0,4591,1832,81,18,24,0,1604,1032
"17031300800","Census Tract 3008, Cook County, Illinois","ACSSF","il","140","00","0006358",,,,,"17","031",,,"300800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031300800","Census Tract 3008",,,,30465,307,60,247,2210,1015,1195,371,113,23,21,21,4387,79,59,0,0,0,0,20,0,4308,2040,0,0,0,0,1949,319
"17031300900","Census Tract 3009, Cook County, Illinois","ACSSF","il","140","00","0006359",,,,,"17","031",,,"300900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031300900","Census Tract 3009",,,,30395,123,0,123,2984,1210,1774,863,222,47,18,15,3982,311,310,1,0,0,0,0,0,3671,1095,0,9,0,0,2091,476
"17031301100","Census Tract 3011, Cook County, Illinois","ACSSF","il","140","00","0006360",,,,,"17","031",,,"301100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031301100","Census Tract 3011",,,,34315,102,17,85,1457,750,707,306,158,102,32,32,2150,328,286,42,0,0,0,0,0,1822,884,0,12,0,0,857,69
"17031301200","Census Tract 3012, Cook County, Illinois","ACSSF","il","140","00","0006361",,,,,"17","031",,,"301200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031301200","Census Tract 3012",,,,38319,118,0,118,2997,972,2025,847,364,72,1,0,5119,1113,292,670,0,42,0,0,109,4006,1525,140,0,0,0,2245,96
"17031301600","Census Tract 3016, Cook County, Illinois","ACSSF","il","140","00","0006362",,,,,"17","031",,,"301600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031301600","Census Tract 3016",,,,28527,90,3,87,2421,1103,1318,534,315,53,0,0,3326,240,119,101,0,2,0,0,18,3086,1017,12,43,0,0,1663,351
"17031301701","Census Tract 3017.01, Cook County, Illinois","ACSSF","il","140","00","0006363",,,,,"17","031",,,"301701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031301701","Census Tract 3017.01",,,,49026,122,0,122,2759,1164,1595,816,248,139,110,59,3637,498,408,0,0,90,0,0,0,3139,1613,27,0,1,0,913,585
